points,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,home_team,team_long_name1
0,1524,10000,9997,4,0,1,2015/2016,Sint-Truidense VV,SV Zulte-Waregem
1,1525,274581,10001,2,2,1,2015/2016,KVC Westerlo,Royal Excel Mouscron
3,1526,9994,9991,1,2,1,2015/2016,KAA Gent,Sporting Lokeren
1,1527,8571,8635,1,1,1,2015/2016,RSC Anderlecht,KV Kortrijk
3,1528,8475,9986,0,1,1,2015/2016,Sporting Charleroi,Waasland-Beveren
0,1529,8635,274581,2,0,1,2015/2016,Royal Excel Mouscron,RSC Anderlecht
3,1530,9987,9994,0,2,1,2015/2016,Sporting Lokeren,KRC Genk
0,1531,8203,8475,2,0,1,2015/2016,Waasland-Beveren,KV Mechelen
1,1532,10000,8571,2,2,1,2015/2016,KV Kortrijk,SV Zulte-Waregem
1,1533,9986,8573,1,1,1,2015/2016,KV Oostende,Sporting Charleroi
3,1534,1773,9991,0,2,1,2015/2016,KAA Gent,Oud-Heverlee Leuven
3,1535,10001,8342,0,2,1,2015/2016,Club Brugge KV,KVC Westerlo
0,1536,9997,9985,1,0,1,2015/2016,Standard de Liège,Sint-Truidense VV
0,1537,8342,9987,1,0,1,2015/2016,KRC Genk,Club Brugge KV
0,1538,9985,8635,1,0,1,2015/2016,RSC Anderlecht,Standard de Liège
3,1539,9991,9986,1,3,1,2015/2016,Sporting Charleroi,KAA Gent
0,1540,8573,1773,3,0,1,2015/2016,Oud-Heverlee Leuven,KV Oostende
1,1541,274581,10000,2,2,1,2015/2016,SV Zulte-Waregem,Royal Excel Mouscron
1,1542,9994,9997,1,1,1,2015/2016,Sint-Truidense VV,Sporting Lokeren
0,1543,8571,8203,1,0,1,2015/2016,KV Mechelen,KV Kortrijk
1,1544,8475,10001,2,2,1,2015/2016,KVC Westerlo,Waasland-Beveren
0,1545,8342,10000,3,0,1,2015/2016,SV Zulte-Waregem,Club Brugge KV
1,1546,9985,8571,1,1,1,2015/2016,KV Kortrijk,Standard de Liège
0,1547,9991,10001,5,0,1,2015/2016,KVC Westerlo,KAA Gent
0,1548,8203,8573,2,1,1,2015/2016,KV Oostende,KV Mechelen
3,1549,274581,9986,0,1,1,2015/2016,Sporting Charleroi,Royal Excel Mouscron
1,1550,9994,8635,1,1,1,2015/2016,RSC Anderlecht,Sporting Lokeren
3,1551,1773,9987,1,3,1,2015/2016,KRC Genk,Oud-Heverlee Leuven
0,1552,8475,9997,2,1,1,2015/2016,Sint-Truidense VV,Waasland-Beveren
0,1553,8635,1773,3,2,1,2015/2016,Oud-Heverlee Leuven,RSC Anderlecht
3,1554,9987,9991,0,1,1,2015/2016,KAA Gent,KRC Genk
3,1555,8203,8342,1,4,1,2015/2016,Club Brugge KV,KV Mechelen
3,1556,10000,9985,2,3,1,2015/2016,Standard de Liège,SV Zulte-Waregem
0,1557,8571,8475,3,1,1,2015/2016,Waasland-Beveren,KV Kortrijk
3,1558,9986,9994,1,2,1,2015/2016,Sporting Lokeren,Sporting Charleroi
3,1559,10001,8573,0,1,1,2015/2016,KV Oostende,KVC Westerlo
3,1560,9997,274581,0,1,1,2015/2016,Royal Excel Mouscron,Sint-Truidense VV
0,1561,8342,9986,2,1,1,2015/2016,Sporting Charleroi,Club Brugge KV
1,1562,9991,10000,2,2,1,2015/2016,SV Zulte-Waregem,KAA Gent
1,1563,9987,8635,0,0,1,2015/2016,RSC Anderlecht,KRC Genk
3,1564,8573,9997,1,2,1,2015/2016,Sint-Truidense VV,KV Oostende
3,1565,274581,8203,2,3,1,2015/2016,KV Mechelen,Royal Excel Mouscron
0,1566,9994,8571,3,1,1,2015/2016,KV Kortrijk,Sporting Lokeren
0,1567,1773,10001,5,1,1,2015/2016,KVC Westerlo,Oud-Heverlee Leuven
1,1568,8475,9985,0,0,1,2015/2016,Standard de Liège,Waasland-Beveren
1,1569,8635,8573,1,1,1,2015/2016,KV Oostende,RSC Anderlecht
0,1570,9985,8342,2,0,1,2015/2016,Club Brugge KV,Standard de Liège
1,1571,8203,9994,1,1,1,2015/2016,Sporting Lokeren,KV Mechelen
0,1572,10000,8475,2,1,1,2015/2016,Waasland-Beveren,SV Zulte-Waregem
3,1573,8571,274581,1,3,1,2015/2016,Royal Excel Mouscron,KV Kortrijk
0,1574,9986,1773,2,1,1,2015/2016,Oud-Heverlee Leuven,Sporting Charleroi
1,1575,10001,9987,0,0,1,2015/2016,KRC Genk,KVC Westerlo
3,1576,9997,9991,0,2,1,2015/2016,KAA Gent,Sint-Truidense VV
0,1577,9991,9987,1,0,1,2015/2016,KRC Genk,KAA Gent
0,1578,8342,8203,3,0,1,2015/2016,KV Mechelen,Club Brugge KV
0,1579,8475,8571,2,1,1,2015/2016,KV Kortrijk,Waasland-Beveren
0,1580,8573,10001,2,1,1,2015/2016,KVC Westerlo,KV Oostende
3,1581,274581,9997,0,2,1,2015/2016,Sint-Truidense VV,Royal Excel Mouscron
1,1582,9994,9986,2,2,1,2015/2016,Sporting Charleroi,Sporting Lokeren
