win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
2,15516,8526,6413,0,3,13274,2015/2016,De Graafschap,PEC Zwolle
1,15517,8593,8525,3,0,13274,2015/2016,Ajax,Willem II
2,15518,8611,10217,1,4,13274,2015/2016,FC Twente,ADO Den Haag
3,15519,10218,10229,2,2,13274,2015/2016,Excelsior,AZ
1,15520,8640,8674,2,0,13274,2015/2016,PSV,FC Groningen
2,15521,7788,10235,0,2,13274,2015/2016,SC Cambuur,Feyenoord
3,15522,9908,10228,1,1,13274,2015/2016,FC Utrecht,SC Heerenveen
1,15523,9791,8464,3,0,13274,2015/2016,Heracles Almelo,N.E.C.
3,15524,8525,8674,1,1,13274,2015/2016,Willem II,FC Groningen
3,15525,8593,9791,0,0,13274,2015/2016,Ajax,Heracles Almelo
1,15526,10229,7788,3,1,13274,2015/2016,AZ,SC Cambuur
1,15527,8464,8611,2,0,13274,2015/2016,N.E.C.,FC Twente
1,15528,8526,10217,3,1,13274,2015/2016,De Graafschap,ADO Den Haag
2,15529,10218,8640,1,3,13274,2015/2016,Excelsior,PSV
3,15530,8277,6413,1,1,13274,2015/2016,Vitesse,PEC Zwolle
1,15531,9803,9908,1,0,13274,2015/2016,Roda JC Kerkrade,FC Utrecht
2,15532,10235,10228,1,2,13274,2015/2016,Feyenoord,SC Heerenveen
3,15533,8525,9791,0,0,13274,2015/2016,Willem II,Heracles Almelo
3,15534,8277,10218,0,0,13274,2015/2016,Vitesse,Excelsior
2,15535,6413,8674,1,3,13274,2015/2016,PEC Zwolle,FC Groningen
1,15536,8640,8526,4,2,13274,2015/2016,PSV,De Graafschap
2,15537,8464,10229,0,3,13274,2015/2016,N.E.C.,AZ
3,15538,9803,8593,2,2,13274,2015/2016,Roda JC Kerkrade,Ajax
2,15539,7788,10228,0,1,13274,2015/2016,SC Cambuur,SC Heerenveen
2,15540,10235,10217,0,2,13274,2015/2016,Feyenoord,ADO Den Haag
