points,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_name,team_long_name1
1,43,9999,7947,2,2,1,2008/2009,FCV Dender EH,KSV Roeselare
0,44,8571,10000,1,0,1,2008/2009,SV Zulte-Waregem,KV Kortrijk
3,45,9993,9994,0,2,1,2008/2009,Sporting Lokeren,Beerschot AC
0,46,8342,9993,3,0,1,2008/2009,Beerschot AC,Club Brugge KV
0,47,9987,9984,3,2,1,2008/2009,KSV Cercle Brugge,KRC Genk
0,48,10000,9986,4,2,1,2008/2009,Sporting Charleroi,SV Zulte-Waregem
0,49,9991,9999,4,0,1,2008/2009,KSV Roeselare,KAA Gent
3,50,7947,8635,0,2,1,2008/2009,RSC Anderlecht,FCV Dender EH
1,51,8203,9985,0,0,1,2008/2009,Standard de Liège,KV Mechelen
0,52,9996,9994,2,0,1,2008/2009,Sporting Lokeren,Royal Excel Mouscron
1,53,4049,8571,3,3,1,2008/2009,KV Kortrijk,Tubize
0,54,10001,9998,2,1,1,2008/2009,RAEC Mons,KVC Westerlo
0,55,8635,4049,5,1,1,2008/2009,Tubize,RSC Anderlecht
3,56,9985,10000,1,2,1,2008/2009,SV Zulte-Waregem,Standard de Liège
0,57,9998,7947,5,2,1,2008/2009,FCV Dender EH,RAEC Mons
3,58,9986,8203,1,2,1,2008/2009,KV Mechelen,Sporting Charleroi
0,59,9984,9991,3,1,1,2008/2009,KAA Gent,KSV Cercle Brugge
0,60,9994,8342,2,0,1,2008/2009,Club Brugge KV,Sporting Lokeren
0,61,9999,10001,1,0,1,2008/2009,KVC Westerlo,KSV Roeselare
0,62,8571,9987,3,1,1,2008/2009,KRC Genk,KV Kortrijk
0,63,9993,9996,3,0,1,2008/2009,Royal Excel Mouscron,Beerschot AC
3,64,8342,9985,1,4,1,2008/2009,Standard de Liège,Club Brugge KV
0,65,9987,9986,1,0,1,2008/2009,Sporting Charleroi,KRC Genk
0,66,10000,9996,2,1,1,2008/2009,Royal Excel Mouscron,SV Zulte-Waregem
1,67,9991,8571,1,1,1,2008/2009,KV Kortrijk,KAA Gent
1,68,7947,9994,1,1,1,2008/2009,Sporting Lokeren,FCV Dender EH
0,69,8203,9993,2,1,1,2008/2009,Beerschot AC,KV Mechelen
3,70,9999,8635,0,3,1,2008/2009,RSC Anderlecht,KSV Roeselare
0,71,4049,9998,2,1,1,2008/2009,RAEC Mons,Tubize
3,72,10001,9984,1,2,1,2008/2009,KSV Cercle Brugge,KVC Westerlo
0,73,8635,9987,2,0,1,2008/2009,KRC Genk,RSC Anderlecht
0,74,9985,9991,2,1,1,2008/2009,KAA Gent,Standard de Liège
1,75,9998,10000,2,2,1,2008/2009,SV Zulte-Waregem,RAEC Mons
0,76,9986,7947,2,0,1,2008/2009,FCV Dender EH,Sporting Charleroi
0,77,9984,9999,4,3,1,2008/2009,KSV Roeselare,KSV Cercle Brugge
1,78,9994,8203,2,2,1,2008/2009,KV Mechelen,Sporting Lokeren
